type,species,population
carnivore,aardvark,386
carnivore,aardwolf,162
carnivore,baboon,1556
carnivore,bat eared fox,291
herbivore,buffalo,13672
herbivore,bushbuck,252
carnivore,caracal,79
carnivore,cheetah,1272
carnivore,civet,37
herbivore,dik dik,1483
herbivore,eland,2689
herbivore,elephant,10178
carnivore,genet,27
herbivore,giraffe,8386
herbivore,Grant's gazelle,7723
herbivore,Guinea fowl,7793
herbivore,hare,398
herbivore,hartebeest,12431
herbivore,hippopotamus,2611
carnivore,honey badger,35
carnivore,human,9851
herbivore,impala,8286
carnivore,jackal,561
carnivore,kori bustard,688
carnivore,leopard,228
carnivore,lion female & cub,3343
carnivore,lion male,923
carnivore,mongoose,246
carnivore,ostrich,673
herbivore,other bird,5549
herbivore,porcupine,288
herbivore,reedbuck,2875
herbivore,reptiles,131
herbivore,rhinoceros,30
carnivore,rodents,48
herbivore,secretary bird,434
carnivore,serval,458
carnivore,spotted hyena,5305
carnivore,striped hyena,115
herbivore,Thomson's gazelle,41420
herbivore,topi,2299
herbivore,velvet monkey,314
herbivore,warthog,7493
herbivore,waterbuck,353
carnivore,wildcat,47
herbivore,wildebeest,100660
herbivore,zebra,70577
carnivore,zorilla,17
